variety,description
Rosé,"This medium-bodied rosé has aromas of strawberries and rose petals, and flavors of cherry, strawberry and tart cherry. The finish is clean, with a slight touch of residual sweetness on the palate."
Rosé,"A light, bright and fresh wine, the epitome of a fruity rosé, this is made from Moscatel Roxo, a pink-skinned grape. It has plenty of lively acidity, a lightly perfumed character and a final burst of red fruits."
Rosé,This is a blend of Syrah and Cinsault. That gives the wine structure as well as bright fruits. It is an elegant fruity wine with a creamy ripe texture along with red-currant and raspberry fruits. Drink the wine now.
Rosé,"Ripe and fruity, this is a rich style of rosé. It has forward succulent strawberry flavors that are gently lifted by acidity. There is also a young, almost bitter character that, unusually, suggests this rosé needs to age. Drink summer 2016."
Rosé,"The 2015s Tavels are almost uniformly excellent, so it's no surprise that this bottling, from a large estate excels. Crushed stone and strawberry notes mark the nose, while the full-bodied palate folds in hints of savory, olive-like complexity. Drink now."
Rosé,"This good varietal rosé has a little more body and a little more breadth in the mouthfeel than many others, along with mild strawberry and cherry flavors that give it substance."
Rosé,"This bold, ripe blend even contains some Muscat that gives richness and a touch of honey and spice to what is otherwise a dry rosé. The acidity acts as a balance to this attractive wine."
Rosé,"A ripe and balanced wine with attractive, forward red fruits, laced with apple and spiced with lime juice. The wine is full in the mouth with a hint of ginger and finishing with light acidity."
Rosé,"Soft and full of red fruit, with balanced acidity, this is a rich style of rosé. Its generous texture has a crisp edge that lifts its full, creamy character. Drink now."
Rosé,"From the producers of Domaines Ott, this is an attempt at an entry-level rosé. It's plump in the mouth, delviering round, canteloupe and citrus flavors, but finishes a bit soft."
Rosé,"Light in color and bright in taste, this is a lightly fruity wine. It's the epitome of the French Riviera—hinting at red currants and with plenty of acidity. It is an immediately drinkable wine with a refreshing crisp aftertaste."
Rosé,"This 100% Grenache pink wine kicks off with a fairly light nose that shyly presents steely aromas of lemon wedge. There is a firm structure to the sip, where pink grapefruit and other citrus elements ride a chalky structure. Texture is key here."
Rosé,"Pink grapefruit and lemon rind notes are elevated on the nose, with wet stone and candied watermelon lingering in the background. The palate on this 100% Merlot rosé is citrus-driven, yet an impression of roundness comes from tart peach and melon tones."
Rosé,"There's a slightly confected top-note of cotton candy or bubble gum to this wine, but also decent concentration of canteloupe and peach fruit aromas and flavors. It's plump and medium-bodied, with a touch of refreshing minerality on the finish."
Rosé,"The wine has the typical Provence rosé color—a pale, elegant pink-grey. The flavors though are rich, full and powerful. It is packed with sweet ripe strawberries, very smooth and luscious."
Rosé,"After an extra year's aging, this wine's richness is very apparent. It may have lost immediate freshness but it has gained in ripe fruits, in texture and in depth. It's a complex wine worth pairing with food."
Rosé,"An inaugural release, this blend of Mourvèdre (85%) and Cinsault is pale copper with salmon tinges. Aromas of strawberry and rose petal lead to dry, full-feeling fruit flavors that linger."
Rosé,"This is round, ripe and full of rich fruitiness. It has a tannic structure that gives the wine concentration and a tight texture. The fruit is less obvious making this much more a rosé for food. Drink now."
Rosé,"Light and lean on the nose, this 100% Pinot Noir bottling offers a steely minerality and chipped slate along with an underlying strawberry softness on the nose. Light raspberry fruit and a touch of watermelon show on the palate, which is all about brightness and textural tension."
Rosé,"High-toned acidity lends verve to delicate raspberry and white grapefruit flavors here. It's not deeply concentrated but lavishly textured with a cutting, mineral finish. Drink now."
Rosé,"This totally acidic wine is crisp and shockingly tart. Fruit has been overtaken by acidity that gives the wine a very fresh, very tangy character."
Rosé,"A touch of spice accents tart raspberry and strawberry notes in this deeply concentrated but spry wine. A predominantly oak-fermented blend of Merlot, Cabernet Franc, Chardonnay and Gewürztraminer, it's a substantial rosé with a distinctly sea-breeze finish."
Rosé,"Ripe and tangy, this full-flavored wine may miss out on some fruitiness but it has plenty of other flavors with herbs, spice and pepper. The blend holds 50% Mouvèdre, 25% Tibouren, 15% Grenache and 10% Syrah selected from old-vine plots. It could wait a few months, so drink from the end of 2015."
Rosé,"A ripe, red-fruited wine with a rich character, this offers vanilla as well as citrus and berry fruit flavors. It is just off dry, fresh and brightly fruity. It makes for a delicious, crisp summer rosé."
Rosé,"A whiff of raspberry perfume trails through deep layers of wet rock and dusty mineral on the nose of this dry Spätburgunder rosé. While restrained in style, its fresh-cut red apple and pear flavors make a zesty year-round accompaniment to light chicken and fish dishes. Drink now."
Rosé,"Dominated by the local Mourvèdre grapes, this is a ripe and complex wine. Its acidity is integrated with rich yellow fruits, spice and perfume. The wine is floral, poised and very stylish. Drink from late 2017."
Rosé,"The nose offers minor essences of apple core and more pronounced notes of wet minerality. On the palate, more refreshingly acidic characteristics shine with flavors of ripe rhubarb and red cherry. A rosé perfectly designed for enjoying with food."
Rosé,"The prestige cuvée from La Gordonne is full and rich, packed with raspberry and red plum fruit. As a balance, there is a taut, crisper side to the wine, leaving a bright lemon zest aftertaste."
Rosé,"This soft, fruity and fleshy wine has bright red fruits and a strong pepper character. The wine comes from vineyards between 900 and 1,500 feet on limestone soil, giving it a mineral edge at the end."
Rosé,"This is a serious wine with a lighter brighter side. Its wood aging adds spice to the ripe red fruits and brings out the concentration and intensity. It is, in its way, an unexpected side of Provence rosé, emphasizing richness and complexity. But it all comes together: a fine wine that, after a year of aging, is ready to drink."
Rosé,"Snappy but briny citrus aromas include pyrazines. In the mouth, this coastal product feels bouncy but regular. Citrusy flavors come with bell-pepper and celery notes, while this is fresh on the finish, but a touch green."
Rosé,"Fresh and blossomy, this elegant medium-bodied rosé offers loads of raspberry fruitiness, but also a deeply mineral spine of chalk and sea breeze. Made predominantly from Merlot and Cabernet Franc, it holds smaller proportions of Pinot Noir, Pinot Meunier and Chardonnay that lend complexity and nuance."
Rosé,"This dry rosé is made, as are most of the wines from this producer, from Merlot. It gives a soft, smooth and lightly caramel flavored wine though with plenty of acidity to keep it crisp. Drink this wine now."
Rosé,"This memorably beautiful and delicious wine is made from estate-grown Grenache. The grapes weren't designated for saignee, but rather picked specifically to make this tart and tangy expression of an inviting grape. Orange in color, almost like a beer, it's dry and sneakily succulent, with inviting floral aromas at its core and enough body to stay interesting as it develops."
Rosé,This wine is named after the mountain that dominates the west of the Côtes de Provence vineyards and gives an extra-rich dimension to the wines. It is structured and full of ripe red fruits and tangerines along with a touch of vanilla.
Rosé,"Thank goodness this rosé is bone dry for a change, when so many California blushes are sugary sweet. It also shows a bite of acidity and tannins. The flavors range from mineral and rose petal to cherry and herb tea."
Rosé,"This is very light in color, with lightweight aromas of peach and citrus. It feels crisp and angular, with fine acidity that creates supreme freshness on the tongue. Flavors of peach and nectarine are spunky, ending like the toot of a whistle."
Rosé,"Pure Touriga Nacional, this is a crisp and fruity wine. Its red currants and light tannic structure give it shape and bring out the fruitiness that makes it immediately attractive. Ready to drink now."
Rosé,"A red-mauve in color, this bottling shows pomegranate, watermelon, strawberry paste and brioche on the nose. It's a rich style of rosé, with strawberry, cherry and red-plum fruit lifted by clove spice and a strong acidity."
Rosé,"This tastes light and fruity. Its great swathe of acidity cuts through the orange and red fruit flavors, lending crispness and a fresh finish."
Rosé,"A touch of concentration helps this wine stand out from the pink pack. The color is a vibrant pink, the aromas recall watermelon and the flavors and body are hefty enough to pair well with everything from salads to salmon to fried chicken."
Rosé,"A blend of Cabernet and Merlot, this has red fruit notes, a light structure and plenty of final acidity. It finishes with caramel as well as freshness."
Rosé,"A whiff of vanilla mingles amidst fresh watermelon, berry and cherry in this bright fruity rosé. It's dry in style with lush voluminous body. A hint of phenolic bitterness juxtaposes a slightly candied finish."
Rosé,"Northern Italian red grapes don't often turn up in Virginia. Electric pink in color, this saignée of Nebbiolo is all fruit. Fresh peach and strawberry mingle with juicy watermelon on a palate of ample weight and structure. While easy enough to be enjoyed on its own, this wine can pair with barbecue on a hot summer day."
Rosé,"A full-out charge of vanilla aromas is strange for a rosé, but that's what you get along with cherry candy notes. The palate is full and chunky, with stalky berry fruit flavors. Acidity is the wine's saving grace; it keeps things moving."
Rosé,"Produced for the Xavier Flouret brand at Château des Demoiselles in the Vallée d'Esclans in the heart of the Côtes de Provence, this is a fresh wine that wears its fruit on its sleeve. With citrus mingling with red fruits, it is bright with acidity, finishing with a tangy aftertaste. Drink now."
Rosé,"Earthen, savory tones of dusty mineral on the nose open to tart sour cherry and strawberry on the palate of this semi-dry rosé made from Merlot grapes. It's light bodied and zesty but balanced with a hint of sweetness."
Rosé,"A pale orange-pink shade, this rosé shows watermelon, baked strawberries, orange cream and a touch of bubblegum on the welcoming nose. Once sipped, it's sleek and easy to drink, with rich red fruit cut by a tangy, almost sour orange zest."
Rosé,"A ripe, soft wine that is packed with strawberry fruits. It is smooth with a creamy caramel texture that contrasts with the fruity acidity and crisp aftertaste. Drink now."
Rosé,"From a Chablis producer, this rosé is cool, crisp and fresh. It has plenty of red fruits and a tight mineral texture. A smooth caramel flavor balanced by juicy acidity keeps the wine deliciously refreshing."
Rosé,"Made principally from Touriga Nacional, this is a rich wine with attractive acidity and strawberry fruitiness. It is ripe, touched with caramel and finished with wild raspberry flavors."
Rosé,"Balanced and crisply fruity, this refreshing wine has lively acidity and a tangy texture that brings out minerality. Drink now."
Rosé,"A deep purple shade of pink, this fruity wine shoes aromas of strawberry juice and buttered red cherries. There are tart berry flavors on the palate, though it's more similar to a red wine than a pink one."
Rosé,"This attractive and fruity rosé is very dry and rich. With red fruits, a sense of texture and just a hint of tannin, this is a food rosé, firm and ready for summer 2014."
Rosé,"Soft and gently fruity, this has red-currant as well as red-plum flavors lightly cut with acidity. The aftertaste is soft, almost off dry. It is immediately attractive and drinkable."
Rosé,"This light-hearted wine comes from a blend of the Gaillac native Duras grape with Syrah. It has raspberry fruitiness fresh with crisp acidity, and a light touch of tannin. Drink now."
Rosé,"Named after the year 2008, when Provence's La Londe became its own appellation, the wine is an impressive selection from specific parcels in the dry coastal slip between Toulon and Saint-Tropez. It is textured, full of ripe fruit, red berries and a squeeze of lemon juice. The wine is full bodied, rich and likely to age for a few more months. Drink from early 2018."
Rosé,"A soft wine, with just a touch of sweetness. The ripe fruit lends a gentle, smooth texture, and it's balanced with attractive red-currant acidity."
Rosé,"A deep pink color and substantial flavors make this wine a little bigger and more wine-like than many other rosés. The red cherry and raspberry flavors and medium body will pair well grilled salmon, paella, and even slow-cooked ribs."
Rosé,"This lively wine is crisp, fresh and deliciously fruity. It is packed with juicy, fragrant acidity and wild strawberry fruit flavors."
Rosé,"A bold pink color suggests the richness of this vanilla-flavored wine that misses out on a truly refreshing character. It is full and soft, with a touch of bitter acidity at the end."
Rosé,"A vibrant, fruity wine that offers great ripe red fruits as well as refreshing acidity. It has an edge of vanilla that smoothes the wine out. Classic dry summer rosé."
Rosé,"This is toasty and vanilla-laden, but stands out for its full-bodied, lush character and intense fruit, which powers through on the finish."
Rosé,"Not something easily found, this pink-orange wine is made from an unusual variety in its red form, let alone as a crisp, tart companion to picnic fare. Orange peel and strawberry are the highlights in this easygoing, lovable quaff."
Rosé,"This wine was made for grilled meats, with its tobacco and spice aromas and combination of fruit and savory flavors. The wine has an assertive character and finishes with a spin of cedar."
Rosé,"Produced from organically grown grapes, this wine has attractive red fruits and a warm ripe character. Dominated by Grenache, it has a light peppery edge as well as plenty of bright acidity to contrast the fruitiness. Drink now."
Rosé,"Delicate and rounded, this has soft vanilla and ripe strawberry flavos. It has touches of spice and orange peel, with gentle acidity on this finish."
Rosé,"This is a really fresh wine with tight acidity and attractive red-berry fruit. It is light, with a hint of pepper from the Grenache in the blend and with forward acidity. Drink now."
Rosé,"The “83” refers to the department number of the Var, the winery's home county in Provence-Alpes-Côte d'Azur. This open, gentle wine dances with attractive bright, fresh fruitiness. It is crisply textured, with a strong citrus element along with raspberry sweetness. It is an apéritif style."
Rosé,"Flavors of rose petal, cherry and a touch of spice characterize this rosé. A backbone of lively spice carries the sweet-tasting cherry flavors on the palate. Pair this with fruit salads or creamy cheeses."
Rosé,"Grapefruit, strawberry and roses lead on the nose of this friendly pour. Cherry and flowers on the palate are playful and easy drinking. A great patio pour with a fun character."
Rosé,"This fruity wine has a refreshing citrus flavor. Lightly textured, it is lively and crisp. A mineral edge gives it tight structure, putting the wine into the food category."
Rosé,"Made from 40% Syrah, 40% Grenache and 20% Mourvèdre, this rosé leads with herbal scents of garrigue herbs and peppercorn that dance atop fruity tones of ripe red cherry and plum skin. The soft, round palate offers richer tones of watermelon candy and peach preserves, while ample acidity lifts the finish and provides a clean close."
Rosé,This Pinot Noir-based rosé offers youthful passion-fruit aromas tempered by hints of red berries—raspberries and strawberries—and even a touch of watermelon. Off-dry (7.9 g/L of residual sugar) on the finish.
Rosé,"In this wine, red berries and currants burst out of the glass. These are balanced with apple and citrus acidity to give a wine that is all about delicious fruit and refreshing acidity. Drink now."
Rosé,"Light, bright and packed with crisp fruit, this is a refreshing wine. Produced from Pinot Noir, it has red-cherry flavors along with a mineral texture and bright fruitiness. Drink now."
Rosé,"A top quality rosé; fruity and textured, providing a bone dry wine that is made to be paired with food. Bright acidity is infused among raspberry and mulberry fruit flavors, adding intensity and freshness. Drink now."
Rosé,"A subtle, pretty nose of vanilla, cherry and strawberry is backed up by bigger flavors of sour cherry, spice and vanilla. Fun and exuberant but not terribly delicate. A good match with meats and poultry."
Rosé,"This smells ripe and full, and the palate confirms it. The wine is wood-aged and this broadens its character—the extra year means fruit is diminished, while the richness is increased. The finale brings some essential acidity."
Rosé,"Sweet and sour, with cherry and raspberry jam flavors finished with acidity that stings the palate, like vinegar."
Rosé,"Ripe and fruity, this is a concentrated rosé that shows its origins in the rich terroir of Aix-en-Provence. That said, all the right acidity and citrus flavors are there balancing the generous red plum fruits. This is a wine for food rather than an aperitif."
Rosé,"This rosé from the Côtes du Rhône is ahead of the pack, with intense cherry and spice character, a dry, crisp palate and a lovely strawberry finish that hangs around just long enough."
Rosé,"This new consumer-friendly brand sports a Garnacha-based rosado and a red blend. The rosé is a bit sweet and mass-market in style, but it has nice color, mouthfeel and integrity. With detectable residual sugar, it's probably better if you have previously enjoyed blush wines. Imported by Cellar Door."
Rosé,"Attractively fruity, this is a crisp and light wine. With a touch of caramel under the red fruits, it is lively, with balanced acidity at the end. The wine is ready to drink."
Rosé,"Aromas of fynbos and blackcurrant leaf lend an attractive herbal edge to the ripe red-fruit core of this bright rosé. It's a well-balanced and layered selection, the medium-weight body countered by ample acidity and lingering notes of savory herbs and citrus pith. Drink now."
Rosé,"The wine has a light color, with fresh acidity and lively touches of raspberries. It is a delicate, crisp wine to drink now."
Rosé,"Definitely sweet, this soft, red fruit flavored rosé has enough crispness to stop it being cloying. It is fruity and ready to drink."
Rosé,"A strawberry-flavored, medium-sweet wine, with lightness, freshness and a crisp, clean character."
Rosé,"The 2016 rosés from the Southern Rhône provide a glimpse into the superb quality of the vintage. This one boasts notes of crushed stone and lime, then rounds that out with bits of cinnamon or clove and hints of red berries. It's medium in body, with a plump feel and silky texture that lingers through the finish."
Rosé,"A pretty pale peach color, the strawberry aromas are quite light while the flavors are tart and spritely. It piques the interest."
Rosé,"Very salmon pink in color, this lively, crisp wine has some weight as well as refreshing fruit. It is full-bodied, with citrus and raspberry fruits, dry and very fresh at the end."
Rosé,"There's a definite ripeness to this rosé, with upfront aromas of red gummy bear, cantaloupe and juicy cherry. Lively acidity helps to enliven the medium-weight palate, with a plum-skin flavored finish. Drink now."
Rosé,"A full and ripe rosé from the Sumeire family which owns a number of Provence estates. This wine has freshness along with its rich character, strawberry fruit and acidity well in balance."
Rosé,"Clean, stony aromas are more neutral than fruity. This feels good and standard, with fresh acidity. Mild flavors of citrus, stone fruits and yeast fade quickly on the finish."
Rosé,"Fragrant in sugarplum and cherry-vanilla, this summery wine uses Grenache, Merlot and Petit Verdot to string together a dry, likable quaff high in acidity and light-bodied from start to finish."
Rosé,"New producer Hannah Nicole has done a nice job, working in a light style, sourcing from Grenache Noir grapes and fermenting in 100% stainless steel. Totally dry, the wine is all strawberry and watermelon, with a tiny note of wax like the kind found around Bonbel cheese."
Rosé,"A pale copper-pink color, this rosé is light and easygoing, with soft notes of red cherry, strawberry and muddled orange on the nose and mouth. The finish is short, but clean."
Rosé,"Light in color, this is a wine with flavors that seem to have been stripped away. It is crisp and only lightly fruity, with some bitter acidity at the end."
Rosé,"Lively strawberry and orange flavors adorn a richer biscuity midpalate in this Rhône-inspired blend. Limited in production, it doesn't hold back on depth, breadth and freshness."
Rosé,"This attractive blend of Grenache and Cinsault is fruity with lively acidity and a crisp, tangy texture. Raspberry and orange zest hang happily together. Drink now."
Rosé,"An attractive pale, salmon-pink-colored wine, this is soft and ripe with strawberries and a smooth texture. Drink now."
Rosé,"A light, crisp blend of Merlot and Syrah, this is soft and gently fruity. Raspberry and red-currant flavors shine easily through this simple wine."
Rosé,"The wine is slightly off dry, with an attractively perfumed character from the Moscatel Roxo in the blend. Its acidity and ripe strawberry fruit are warm and smooth with just the lightest orange-peel zest at the end. Drink now."
Rosé,"Bright pink in color, this 100% Touriga Nacional rosé is ripe with caramel and red berry flavors. It misses out on acidity, leaving the wine flat at the end."
Rosé,"This dark, ruby-colored rosé made with the rare Casavecchia grape (which has existed since ancient Rome, when  Pliny the Elder referred to it as Trebulanum), opens with soapy aromas of rosewood, raspberry, blueberry and almond paste. It shows a surprising touch of tannic firmness on the close."
Rosé,"There is a light pepper and spice character that comes through in this wine. It adds to the wine's simple fruitiness with complexity, pushing the rosé into a food friendly character. The wine is ready to drink."
Rosé,"Made from Cinsault grapes, this is a reductive, salty and somewhat intense wine at first, that settles nicely into developed flavors of ripe strawberry, peach and vanilla. With substantive weight and breadth, it offers a pleasing texture and body without ever getting bogged down. This is a fine wine for the table."
Rosé,"A pretty coppery pink in hue, this aromatic wine is dry and balanced on the palate. Rose petals and wild mountain strawberries combine gracefully, with a finishing touch of toasted coconut."
Rosé,"This is a soft, fresh wine, with attractive red-berry fruits. It has little character, simply fresh fruit and acidity. Drink now."
Rosé,"This is a more serious style of rosé. It is structured with an edge of tannins that lead to richness as well as piles of delicious red-berry fruits and considerable balanced acidity. Owned by the Fabre family, this vineyard dates back to 1910. The estate produces the wine, although it is bottled by the Saint-Tropez cooperative. Drink now."
Rosé,"A touch of Riesling accentuates the fresh citrusy backbone on this Cabernet Sauvignon rosé. Dry in style with a sprightly light-footed tone, it offers loads of concentrated cherry and berry flavors. The finish is brisk and clean."
Rosé,"A rare finding of this variety in California, this wine is golden-orange in color and offers resin-like sweetness that may not appeal to everybody."
Rosé,"Very fresh, light and a little candylike in flavor, this vivid-pink wine is dry and fruity. It is charming and easy to sip."
Rosé,"Made from 65% Syrah and 35% Grenache, this salmon-colored rosé is ripe and fruity, boasting attractive aromas and flavors of red cherry, raspberry and plum, all laced by a hint of white chocolate. The medium-weight palate is fleshy and flavorful, with a medium-length close."
Rosé,"A very pretty shade of pink, this blend of 89% Grenache and 11% Syrah shows crisp nectarine and peach, squeezed lime, fragrant honeydew, jasmine, strawberry ice cream, sweet onion and a green-mint twist on the dynamic nose. The palate is nicely tense, with lime rind leveling the riper peach, strawberry and watermelon flavors."
Rosé,"Herb and strawberry flavors shine through this rich, southern-feeling wine. It is ripe and smooth, with a bright, lively aftertaste."
Rosé,"With bright fruit and intense acidity, this is a crisp, perfumed rosé. Clean, fresh lines of red and citrus fruits are cut by the tight, mineral texture. It is both delicious wine and refreshing."
Rosé,This sweet rosé is light and crisply fruity. Strawberry flavors make it an immediately refreshing and enjoyable apéritif wine.
Rosé,"Ripe and fruity, this bears a red berry flavor and a dry structure. It has weight, richness and a smooth finish."
Rosé,"This Provençal-style blush is made from Syrah, Mourvèdre and Grenache. It's a good wine, dry and crisply acidic, but not without its faults. The main problem is a streak of green mint and vegetables. But there's enough sweet raspberry and cherry fruit to get by."
Rosé,"Duras and Syrah grapes take credit for this ripe, spicy wine. With its red fruit and plenty of pepper and caramel flavors, it's a full-bodied rosé—much better with food than by itself. Drink now."
Rosé,"Fermented and aged in neutral oak, this combines Cabernet Sauvignon, Merlot, Cabernet Franc, Syrah, Petit Verdot and Malbec. Nutty in aroma, it reveals flavors of cherry, raspberry and vanilla within a moderate body and gravelly texture. It's best enjoyed cold."
Rosé,"Made from 100% Niellucciu (the Corsican name for Sangiovese), this attractive wine is ripe and softly textured. It has plenty of acidity, but its fruitiness is smooth—full of strawberry flavors and a tangy aftertaste. Drink now."
Rosé,"As pale in color as is possible for a rosé, this is bright, crisp and fruity.It has delicious acidity and red apple and citrus flavors, with a burst of red currant on the finish."
Rosé,"This ripe rounded red-fruited wine is soft and smooth. With its creamy texture and light acidity it is a fine apéritif style. The name means happy cicada, a common feature of life in Provence. Drink now."
Rosé,"A southern Rhône-style blend based on Mourvèdre, this blush wine is crisp and clean, with raspberry and spice flavors, but it's too sweet for a table wine."
Rosé,"Rounded and rich, this is full of strawberry flavors. It's deliciously ripe, with crispness to go with the serious fruit. This is very much a food rosé, concentrated and intense."
Rosé,"Perfumed dry rosé with a touch of smokiness to go with the full and ripe red berry fruit. It is well balanced, with attractive acidity and a light final touch of caramel."
Rosé,"A ripe rosé, full of rich strawberry fruits and balanced acidity. It is full bodied with just the right amount of crispness and intensity to give the wine weight and concentration. This will be a fine apéritif wine."
Rosé,"This is two consecutive vintages of sketchy to poor rosé from this label. This one smells a bit like a swimming pool, while the flavors are of tart nectarine and pickle. Doesn't much cut it."
Rosé,"This wine is  refreshing, its red fruit juice laced with acidity and a touch of herbs. Easy and light to drink."
Rosé,"Rich and caramel flavored, this is a rounded, sweet strawberry wine. It has plenty of fresh acidity to cut through the ripe texture, but it's not for an apéritif, more for food."
Rosé,"Clean, very fresh, very crisp. There is some body to it, with green herbal flavors and red plum juice. The finish is packed with acidity."
Rosé,"Made from 100% Cabernet Sauvignon, this is a full-bodied wine. It has a light tannic character over intense acidity. A caramel underlay cuts down on the freshness and adds some richness. Drink now."
Rosé,"Composed of 40% Syrah, 40% Grenache and 20% Mourvèdre, this fruit-forward rosé offers powerful notes of ripe red berries framed with a candied orange peel and watermelon sweetness. Fleshy on the palate with a full texture and body."
Rosé,"This attractive rosé is always pleasing, as evidenced by pretty aromas of red cherry, strawberry, melon rind and soft sweet spice. The mouthfeel is light and vibrant, with mouthwatering acidity and bright red fruit and citrus flavors. The finish is short, but clean and refreshing. Drink now."
Rosé,"This immediately attractive fruity wine does everything a dry, fresh rosé should. With bright fruits, layered acidity and richness, it is very ready to drink with food."
Rosé,"A full, earthy, warm wine that has a strong herbal character as well as rich caramel and red fruits. It has a rare density for a rosé, textured and ripe. Try aging this wine for a  few months."
Rosé,"Bright and fresh, this is a delicate rosé, showing both fruitiness and some structure. Strawberry dusted with pepper lends a spicy berry character throughout. It's not for aging, so drink now."
Rosé,"This is a typical sweet rosé from Anjou. A light and fruity blend of Groslot and Gamay, it is sugary but has attractive acidity to balance the sweet wild-strawberry flavors. Drink now."
Rosé,"This is a strongly flavored blush, packing a punch of raspberry, fig, sweet tea and rose flavors. It's dry and very crisp in acidity. Give it a chill and enjoy with salted, smoked meats, or a nice fish stew."
Rosé,"Grapefruit peel and tart lemon combine for a memorably savory beginning to this crisp wine. This one integrates its acidity with a medium weight into a clean, dry and lengthy package of flavor and bite."
Rosé,"This is a blend of Grenache and Cinsault from the organic vineyard of Château Gabriel. It is a lively, crisp wine with fine acidity and refreshing red-currant fruits. It is bone dry, packed with bright acidity as well as fruitiness. Drink now."
Rosé,"From vineyards in a protected natural park, this wine is rich and full in the mouth. It is a touch herbal as well as fruity, adding spice and pepper to the mix. Lively acidity balances the ripeness of the wine."
Rosé,"A pretty peach color, this wine is a blend of Cabernet Franc (79%) and Cabernet Sauvignon. Aromas of dried herbs, bell pepper and spice lead to dry cherry and green pepper flavors. There's interest but the bell pepper notes take over."
Rosé,Totally pale in colored this wine has delicate hints of red fruits as well as a tight crisp mineral texture. There is a salty edge with touches of spice and pepper. The aftertaste is bright and fruity.
Rosé,"Deep mauve to light red in color, this bottling conveys rustic aromas of smoked berries, blood and leather on the nose. Smashed wild berries and dried strawberries show on the sip, which also shows some brick and meat flavors. The chalky tannins keep it intriguing."
Rosé,"This wine is a very appealing pale bronze color with a light peach tinge. It brings bountiful aromas of wet rock, mountain strawberry and herb that lead to a dry, broad, flavorful palate, with mouthwatering fruit and stone flavors."
Rosé,"Ribera is not prime rosé country, and this wine doesn't much help the cause. Cherry cough drop aromas are about all you're going to get, while the palate is jumpy and sour, with apple skin and grapefruit flavors. Too much like a sucking candy."
Rosé,"Citrus and soft red berry flavors are restrained on nose and palate of this pale, pink and slender rosé. But the bone-dry nature of the wine makes for great refreshment. Drink soon."
Rosé,"This darkly-colored wine is a little on the heavy, fruity side for a rosé. But it's fantastically delicious, offering waves of berries, cola and spices. The acidity is refreshingly high. You can drink this instead of a red wine with lighter meats, such as lamb or pork."
Rosé,A rich style of rosé that has some wood aging and a full-bodied texture. Strawberry fruit flavors dominate. Drink now.
Rosé,"This wine is ripe, round, and fruity wine. It is refreshing and lively on the midpalate, with a crisp citrus note on the finish. Created by Producta Vignobles, a cooperative wine group."
Rosé,"Pale in color, this ripe wine is beautifully balanced. It does have rich fruit, raspberries and wild strawberries. It also has a fine texture with plenty of acidity as well as a touch of pepper. The wine could age a further few months, so drink at the end of 2017."
Rosé,"This wine is a rare example of Nebbiolo in the state. A pretty pale peach, almost bronze color, it brings aromas of mineral and strawberry. The tart flavors drink bone dry with medium-bodied cherry notes that draw out on the finish."
Rosé,"Simple aromas of Juicy Fruit gum lead to a fresh palate with light rubbery tannins. The flavor of pink grapefruit is singular, with mild bitterness setting in on a citric finish. This is lively but not an enamel peeler."
Rosé,"The wine is ripe, full in the mouth while also having an attractive lightness. With flavors that include candied strawberry, red currants and tight acidity, it's a wine that needs food. Drink now."
Rosé,"Sweet and tart notes—think maraschino cherry and citrus—start this opulent sip. Sweet-tasting cherry and strawberry flavors follow. Not overly complex, but a fun summer wine."
Rosé,"Pale in color, this is a light-tasting wine. It does have just enough fruit to give some red-fruit flavors. Everything though is light—a crisp reflection of the light of Saint-Tropez. Drink now."
Rosé,"With 45% Mourvèdre and 35% Cinsault this has turned into a highly flavored and aromatic wine. It has great fruits and a rich texture that has a herbal edge. It is certainly a food rosé and with its up-front fruit, it could do with a few months to calm down. Drink from late 2017."
Rosé,"This is a crisp, fruity and perfumed rosé from Sciaccarellu. It has red-currant freshness, bright acidity and a delicious refreshing character. Drink now."
Rosé,Here is a brisk and fruity wine that has bright acidity and a fresh raspberry flavor. There is an attractive crispness to the finish of this bright rosé.
Rosé,This blend of Bobal and Garnacha is clean and neutral up front. A healthy feeling palate is highly regular but solid. Standard citrus and currant flavors end with moderate length.
Rosé,"Olivier Doujon made only 7,000 bottles of this 100% Merlot at the family estate in Fronsac. Rounded and ripe, this is a full-bodied wine with great fruitiness and attractive acidity. Well balanced, it offers red-cherry flavors with an edge of pepper. Drink the wine now."
Rosé,"Light in color and flavor, this is a ghost of a wine, with pale fruitiness and acidity, with a fleeting texture."
Rosé,"This pale salmon rosé is fresh and clean. It opens with bright aromas of strawberry hull, watermelon rind and citrus peel that carry through to the linear yet vibrant palate. The palate boasts excellent verve and refreshment, making this a perfect choice for warm-weather enjoyment. Drink now."
Rosé,"A ripe, raspberry flavored wine that is crisp while also very fruity. It has attractive acidity and a refreshing, juicy aftertaste that is irresistible. Drink now."
Rosé,"Strawberry aromas follow through to the soft, red berry fruit flavors of this wine. The blend of 60% Merlot and 40% Cabernet Sauvignon gives both richness and structure. Drink now."
Rosé,"This is a simple fruity wine. It has attractive red-berry fruits, giving it a light and bright character. The wine is rounded and smooth, with an attractive lift of acidity at the end."
Rosé,Faint notes of white pepper and bay leaf create an aromatic introduction to this delicate rosé. The slender palate delivers red apple and a pleasant hit of citrus which lingers beautifully.
Rosé,"This is a big, ripe rosé, with lush red cherry, rosehip tea, apricot and vanilla flavors. It has zesty acidity and a silky mouthfeel. Some fruity sweetness lingers in the finish, but the wine is essentially dry."
